lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(王家港-东郭庄),地铁1号线(东郭庄-王家港)}"
2,地铁2号线,"{地铁2号线(泰山路-李村公园),地铁2号线(李村公园-泰山路)}"
3,地铁3号线,"{地铁3号线(青岛北站-青岛站),地铁3号线(青岛站-青岛北站)}"
4,地铁8号线,"{地铁8号线(青岛北站-胶州北站),地铁8号线(胶州北站-青岛北站)}"
5,地铁11号线,"{地铁11号线(钱谷山-苗岭路),地铁11号线(苗岭路-钱谷山)}"
6,地铁13号线,"{地铁13号线(董家口火车站-井冈山路),地铁13号线(井冈山路-董家口火车站)}"
