lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(纺织城-沣河森林公园),地铁1号线(沣河森林公园-纺织城)}"
2,地铁2号线,"{地铁2号线(北客站-韦曲南),地铁2号线(韦曲南-北客站)}"
3,地铁3号线,"{地铁3号线(保税区-鱼化寨),地铁3号线(鱼化寨-保税区)}"
4,地铁4号线,"{地铁4号线(北客站(北广场)-航天新城),地铁4号线(航天新城-北客站(北广场))}"
5,地铁5号线,"{地铁5号线(西安东站-创新港),地铁5号线(创新港-西安东站)}"
6,地铁6号线,"{地铁6号线(西安国际医学中心-西北工业大学),地铁6号线(西北工业大学-西安国际医学中心)}"
7,地铁9号线,"{地铁9号线(纺织城-秦陵西),地铁9号线(秦陵西-纺织城)}"
8,地铁14号线,"{地铁14号线(贺韶-机场西(T1、T2、T3)),地铁14号线(机场西(T1、T2、T3)-贺韶)}"
