lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(环城南路-大学城南),地铁1号线(大学城南-环城南路),地铁1号线(环城南路-昆明南火车站),地铁1号线(昆明南火车站-环城南路)}"
2,地铁2号线,"{地铁2号线(环城南路-北部汽车站),地铁2号线(北部汽车站-环城南路)}"
3,地铁3号线,"{地铁3号线(东部汽车站-西山公园),地铁3号线(西山公园-东部汽车站)}"
4,地铁4号线,"{地铁4号线(金川路-昆明南火车站),地铁4号线(昆明南火车站-金川路)}"
5,地铁6号线,"{地铁6号线(塘子巷-机场中心),地铁6号线(机场中心-塘子巷)}"
