lineid,linename,fullnames
1,迪士尼线,"{迪士尼线(迪士尼-欣澳),迪士尼线(欣澳-迪士尼)}"
2,东铁线,"{东铁线(金钟-上水),东铁线(上水-金钟)}"
3,东涌线,"{东涌线(香港-东涌),东涌线(东涌-香港)}"
4,港岛线,"{港岛线(坚尼地城-柴湾),港岛线(柴湾-坚尼地城)}"
5,观塘线,"{观塘线(调景岭-黄埔),观塘线(黄埔-调景岭)}"
6,机场快线,"{机场快线(香港-博览馆),机场快线(博览馆-香港)}"
7,将军澳线,"{将军澳线(北角-康城),将军澳线(康城-北角)}"
8,将军澳线支线,"{将军澳线支线(北角-宝琳),将军澳线支线(宝琳-北角)}"
9,南港岛线,"{南港岛线(海怡半岛-金钟),南港岛线(金钟-海怡半岛)}"
10,屯马线,"{屯马线(屯门-乌溪沙),屯马线(乌溪沙-屯门)}"
11,荃湾线,"{荃湾线(中环-荃湾),荃湾线(荃湾-中环)}"
