lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(河南工业大学-河南大学新区),地铁1号线(河南大学新区-河南工业大学)}"
2,地铁2号线,"{地铁2号线(贾河-南四环),地铁2号线(南四环-贾河)}"
3,地铁3号线,"{地铁3号线(省体育中心-营岗),地铁3号线(营岗-省体育中心)}"
4,地铁4号线,"{地铁4号线(郎庄-老鸦陈),地铁4号线(老鸦陈-郎庄)}"
5,地铁5号线,"{地铁5号线(内环(月季公园-月季公园)),地铁5号线(外环(月季公园-月季公园))}"
6,地铁14号线,"{地铁14号线(须水-莲湖),地铁14号线(莲湖-须水)}"
7,城郊线,"{城郊线(南四环-郑州航空港站),城郊线(郑州航空港站-南四环)}"
