lineid,linename,fullnames
1,轨道交通1号线,"{轨道交通1号线(开福区政府-尚双塘),轨道交通1号线(尚双塘-开福区政府)}"
2,轨道交通2号线,"{轨道交通2号线(梅溪湖西-光达),轨道交通2号线(光达-梅溪湖西)}"
3,轨道交通3号线,"{轨道交通3号线(山塘-广生),轨道交通3号线(广生-山塘)}"
4,轨道交通4号线,"{轨道交通4号线(罐子岭-杜家坪),轨道交通4号线(杜家坪-罐子岭)}"
5,轨道交通5号线,"{轨道交通5号线(毛竹塘-水渡河),轨道交通5号线(水渡河-毛竹塘)}"
6,磁浮快线,"{磁浮快线(磁浮机场站-磁浮高铁站),磁浮快线(磁浮高铁站-磁浮机场站)}"
