lineid,linename,fullnames
1,轨道交通1号线,"{轨道交通1号线(刘园-双桥河),轨道交通1号线(双桥河-刘园)}"
2,轨道交通2号线,"{轨道交通2号线(曹庄-滨海国际机场),轨道交通2号线(滨海国际机场-曹庄)}"
3,轨道交通3号线,"{轨道交通3号线(南站-小淀),轨道交通3号线(小淀-南站)}"
4,轨道交通4号线,"{轨道交通4号线(东南角-新兴村),轨道交通4号线(新兴村-东南角)}"
5,轨道交通5号线,"{轨道交通5号线(李七庄南-北辰科技园北),轨道交通5号线(北辰科技园北-李七庄南)}"
6,轨道交通6号线,"{轨道交通6号线(渌水道-南孙庄),轨道交通6号线(南孙庄-渌水道)}"
7,轨道交通6号线二期,"{轨道交通6号线二期(渌咸段)(渌水道-咸水沽西),轨道交通6号线二期(渌咸段)(咸水沽西-渌水道)}"
8,津滨轻轨9号线,"{津滨轻轨9号线(东海路-天津站),津滨轻轨9号线(天津站-东海路)}"
