lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(黎明广场-十三号街),地铁1号线(十三号街-黎明广场)}"
2,地铁2号线,"{地铁2号线(蒲田路-全运路),地铁2号线(全运路-蒲田路)}"
3,地铁9号线,"{地铁9号线(怒江公园-建筑大学),地铁9号线(建筑大学-怒江公园)}"
4,地铁10号线,"{地铁10号线(张沙布-丁香湖),地铁10号线(丁香湖-张沙布)}"
