lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(河口-姚家),地铁1号线(姚家-河口)}"
2,地铁2号线,"{地铁2号线(海之韵-大连北站),地铁2号线(大连北站-海之韵)}"
3,地铁3号线支线,"{地铁3号线支线(九里-开发区),地铁3号线支线(开发区-九里)}"
4,地铁3号线,"{地铁3号线(地铁大连站-金石滩),地铁3号线(金石滩-地铁大连站)}"
5,地铁12号线,"{地铁12号线(旅顺新港-河口),地铁12号线(河口-旅顺新港)}"
6,地铁13号线,"{地铁13号线(普兰店振兴街-九里),地铁13号线(九里-普兰店振兴街)}"
