lineid,linename,fullnames
1,地铁1号线,"{地铁1号线(方特-工研院),地铁1号线(工研院-方特)}"
2,地铁2号线,"{地铁2号线(彭家庄-王府庄),地铁2号线(王府庄-彭家庄)}"
3,地铁3号线,"{地铁3号线(龙洞-滩头),地铁3号线(滩头-龙洞)}"
