id,city,line_o,station_o,line_d,station_d,line1,line2,line3,line4,line5,line6,transfer1,transfer2,transfer3,transfer4,transfer5,HH1,MM1,SS1,HH2,MM2,SS2,d_time,nroutes,choice,age
1,bj,LINE 4,ZHONGGUANCUN,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 4,,,,,,,,,,,17,5,45,17,10,48,303,1,1,2
2,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 10,HAIDIANHUANGZHUANG,LINE 4,,,,,,,,,,,11,53,7,12,4,22,675,1,1,2
3,bj,LINE 4,HAIDIANHUANGZHUANG,LINE 2,XIZHIMEN,LINE 4,,,,,,,,,,,14,17,15,14,34,7,1012,1,1,2
4,bj,LINE 9,BEIJING WEST RAILWAY STATION,LINE 4,ZHONGGUANCUN,LINE 9,LINE 4,,,,,NATIONAL LIBRARY,,,,,10,1,52,10,28,46,1614,2,3,2
5,bj,LINE 9,BEIJING WEST RAILWAY STATION,LINE 1 (BATONG LINE),YUQUAN LU,LINE 9,LINE 1 (BATONG LINE),,,,,MILITARY MUSEUM,,,,,8,46,36,9,14,17,1661,2,3,2
6,bj,LINE 4,YIHEZHUANG,LINE 4,XIZHIMEN,LINE 4,,,,,,,,,,,14,47,39,15,50,6,3747,1,3,2
7,bj,LINE 4,XIZHIMEN,LINE 4,YIHEZHUANG,LINE 4,,,,,,,,,,,9,3,16,9,58,57,3341,1,3,2
8,bj,LINE 4,HUANGCUN RAILWAY STATION,LINE 4,XIZHIMEN,LINE 4,,,,,,,,,,,14,52,51,15,48,48,3357,1,2,2
9,bj,LINE 4,XIZHIMEN,LINE 4,XIHONGMEN,LINE 4,,,,,,,,,,,8,51,15,9,35,57,2682,1,2,2
10,bj,LINE 13,HUILONGGUAN,LINE 13,QINGHE RAILWAY STATION,LINE 13,,,,,,,,,,,19,35,4,19,47,52,768,1,2,3
11,bj,LINE 6,YANGZHUANG,LINE 15,LIUDAOKOU,LINE 6,LINE 8,LINE 15,,,,NANLUOGU XIANG,OLYMPIC PARK,,,,21,34,42,22,45,1,4219,3,2,3
12,bj,CHANGPING LINE,QINGHE RAILWAY STATION,CHANGPING LINE,SHAHE,CHANGPING LINE,,,,,,,,,,,11,8,27,11,29,25,1258,1,3,3
13,bj,CHANGPING LINE,CHANGPING,CHANGPING LINE,QINGHE RAILWAY STATION,CHANGPING LINE,,,,,,,,,,,8,13,13,8,59,19,2766,1,3,3
14,bj,LINE 16,NONGDA NANLU,LINE 9,BEIJING WEST RAILWAY STATION,LINE 16,LINE 9,,,,,NATIONAL LIBRARY,,,,,16,33,24,17,13,52,2428,2,2,3
15,bj,LINE 9,BEIJING WEST RAILWAY STATION,LINE 1 (BATONG LINE),TIAN'ANMENDONG,LINE 9,LINE 1 (BATONG LINE),,,,,MILITARY MUSEUM,,,,,9,7,12,9,48,36,2484,2,2,6
16,bj,LINE 7,ZHUSHIKOU,LINE 9,BEIJING WEST RAILWAY STATION,LINE 7,LINE 9,,,,,BEIJING WEST RAILWAY STATION,,,,,17,10,20,17,30,55,1235,2,2,7
17,bj,LINE 14,CHAOYANG PARK,LINE 14,FUTONG,LINE 14,,,,,,,,,,,18,2,0,18,23,0,1260,1,1,3
18,bj,LINE 5,TIANTONGYUAN NORTH,LINE 5,BEIXINQIAO,LINE 5,,,,,,,,,,,7,33,8,8,5,55,1967,1,1,4
19,bj,LINE 4,PING'ANLI,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 4,,,,,,,,,,,14,16,18,14,44,10,1672,1,3,2
20,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 10,CHANGCHUNQIAO,LINE 4,LINE 10,,,,,HAIDIANHUANGZHUANG,,,,,17,13,44,17,37,13,1409,2,1,2
21,bj,LINE 9,BEIJING WEST RAILWAY STATION,LINE 10,CHANGCHUNQIAO,LINE 9,LINE 10,,,,,LIULIQIAO,,,,,19,1,33,19,38,26,2213,2,3,2
22,bj,LINE 6,DONGDAQIAO,LINE 6,QINGNIAN LU,LINE 6,,,,,,,,,,,17,37,45,17,52,40,895,2,3,5
23,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 9,BEIJING WEST RAILWAY STATION,LINE 4,LINE 9,,,,,NATIONAL LIBRARY,,,,,8,19,4,8,50,18,1874,2,1,2
24,bj,LINE 4,GAOMIDIANBEI,LINE 16,SUZHOUQIAO,LINE 4,LINE 16,,,,,NATIONAL LIBRARY,,,,,7,42,21,8,41,37,3556,2,2,3
25,bj,LINE 8,WANGFUJING,LINE 10,CHANGCHUNQIAO,LINE 8,LINE 10,,,,,BEITUCHENG,,,,,19,50,10,20,31,14,2464,2,3,2
26,bj,LINE 8,HUOJIAN WANYUAN,LINE 2,LAMA TEMPLE,LINE 8,LINE 2,,,,,GULOUDAJIE,,,,,7,57,0,8,48,0,3060,3,1,3
27,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 4,BEIGONGMEN,LINE 4,,,,,,,,,,,10,53,43,11,5,6,683,1,2,2
28,bj,LINE 4,GAOMIDIANBEI,LINE 16,SUZHOUQIAO,LINE 4,LINE 16,,,,,NATIONAL LIBRARY,,,,,8,41,37,8,43,8,91,2,2,3
29,bj,LINE 5,TIANTONGYUAN NORTH,CHANGPING LINE,XI'ERQI,LINE 5,LINE 13,,,,,LISHUIQIAO,,,,,7,22,7,7,47,52,1545,2,1,4
30,bj,LINE 13,XI'ERQI,LINE 5,TIANTONGYUAN NORTH,LINE 13,LINE 5,,,,,LISHUIQIAO,,,,,18,51,6,19,19,59,1733,2,1,4
31,bj,LINE 5,TIANTONGYUAN NORTH,CHANGPING LINE,XI'ERQI,LINE 5,LINE 13,,,,,LISHUIQIAO,,,,,7,21,48,7,46,33,1485,2,1,4
32,bj,LINE 13,XI'ERQI,LINE 5,TIANTONGYUAN NORTH,LINE 13,LINE 5,,,,,LISHUIQIAO,,,,,18,59,13,19,28,50,1777,2,1,4
33,bj,LINE 5,TIANTONGYUAN NORTH,CHANGPING LINE,XI'ERQI,LINE 5,LINE 13,,,,,LISHUIQIAO,,,,,7,22,22,7,52,52,1830,2,1,4
34,bj,LINE 1 (BATONG LINE),TONGZHOU BEIYUAN,LINE 1 (BATONG LINE),DAWANG LU,LINE 1 (BATONG LINE),,,,,,,,,,,7,40,0,8,7,0,1620,1,1,2
35,bj,LINE 5,TIANTONGYUAN NORTH,LINE 13,HUOYING,LINE 5,LINE 13,,,,,LISHUIQIAO,,,,,7,31,2,7,52,51,1309,2,2,3
36,bj,LINE 8,HUILONGGUAN DONGDAJIE,LINE 8,JINYU HUTONG,LINE 8,,,,,,,,,,,12,33,37,13,18,57,2720,1,2,3
37,bj,CHANGPING LINE,XI'ERQI,LINE 5,TIANTONGYUAN NORTH,LINE 13,LINE 5,,,,,LISHUIQIAO,,,,,19,10,50,19,41,0,1810,2,1,4
38,bj,LINE 5,TIANTONGYUAN NORTH,LINE 13,XI'ERQI,LINE 5,LINE 13,,,,,LISHUIQIAO,,,,,7,24,44,7,52,14,1650,2,1,4
39,bj,LINE 13,HUOYING,LINE 5,TIANTONGYUAN NORTH,LINE 13,LINE 5,,,,,LISHUIQIAO,,,,,21,25,20,21,50,46,1526,2,1,3
40,bj,LINE 5,DENGSHIKOU,LINE 5,TIANTONGYUAN NORTH,LINE 5,,,,,,,,,,,10,53,25,11,31,25,2280,1,1,4
41,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 10,CAOQIAO,LINE 4,LINE 10,LINE 19,,,,HAIDIANHUANGZHUANG,MUDANYUAN,,,,9,27,0,10,12,0,2700,4,2,3
42,bj,LINE 10,CAOQIAO,LINE 10,HAIDIANHUANGZHUANG,LINE 10,,,,,,,,,,,14,46,0,15,37,0,3060,1,2,3
43,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 15,WANGJINGDONG,LINE 4,LINE 10,LINE 5,LINE 15,,,HAIDIANHUANGZHUANG,HUIXIN XIJIE NANKOU,DATUNLUDONG,,,8,53,10,9,53,15,3605,4,2,2
44,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 9,BEIJING WEST RAILWAY STATION,LINE 4,LINE 9,,,,,NATIONAL LIBRARY,,,,,6,42,43,7,12,42,1799,2,1,2
45,bj,LINE 1 (BATONG LINE),GUOYUAN,LINE 10,SONGJIAZHUANG,LINE 1 (BATONG LINE),LINE 10,,,,,GUOMAO,,,,,20,16,15,21,7,25,3070,2,2,2
46,bj,LINE 1 (BATONG LINE),UNIVERSAL RESORT,LINE 1 (BATONG LINE),GUOYUAN,LINE 1 (BATONG LINE),,,,,,,,,,,19,29,39,19,47,22,1063,1,3,2
47,bj,LINE 5,CHONGWENMEN,LINE 4,MAJIAPU,LINE 2,LINE 4,,,,,XUANWUMEN,,,,,20,43,27,21,11,4,1657,3,3,2
48,bj,LINE 5,SONGJIAZHUANG,LINE 4,XINGONG,LINE 10,LINE 4,,,,,JIAOMEN WEST,,,,,11,57,32,12,19,26,1314,2,2,2
49,bj,LINE 4,ZHONGGUANCUN,LINE 5,SONGJIAZHUANG,LINE 4,LINE 10,,,,,JIAOMEN WEST,,,,,22,7,50,23,33,18,5128,2,2,2
50,bj,LINE 13,WUDAOKOU,LINE 4,ZHONGGUANCUN,LINE 13,LINE 10,LINE 4,,,,ZHICHUNLU,HAIDIANHUANGZHUANG,,,,21,29,46,21,59,31,1785,3,1,2
51,bj,LINE 10,HAIDIANHUANGZHUANG,LINE 13,WUDAOKOU,LINE 10,LINE 13,,,,,ZHICHUNLU,,,,,19,56,31,20,17,52,1281,2,1,2
52,bj,LINE 10,JINGSONG,LINE 4,HAIDIANHUANGZHUANG,LINE 10,LINE 4,,,,,HAIDIANHUANGZHUANG,,,,,19,3,3,19,56,41,3218,2,2,2
53,bj,LINE 4,MAJIAPU,LINE 5,CHONGWENMEN,LINE 4,LINE 2,,,,,XUANWUMEN,,,,,14,26,22,14,57,0,1838,2,2,2
54,bj,LINE 1 (BATONG LINE),GUOYUAN,LINE 7,UNIVERSAL RESORT,LINE 1 (BATONG LINE),,,,,,,,,,,9,27,26,9,47,51,1225,2,2,2
55,bj,LINE 1 (BATONG LINE),GUOMAO,LINE 1 (BATONG LINE),GUOYUAN,LINE 1 (BATONG LINE),,,,,,,,,,,16,5,34,16,39,41,2047,1,2,2
56,bj,LINE 1 (BATONG LINE),DONGDAN,LINE 1 (BATONG LINE),GUOMAO,LINE 1 (BATONG LINE),,,,,,,,,,,15,5,45,15,14,54,549,1,2,2
57,bj,LINE 5,SONGJIAZHUANG,LINE 4,ZHONGGUANCUN,LINE 10,LINE 4,,,,,JIAOMEN WEST,,,,,6,14,1,7,14,10,3609,2,2,3
58,bj,LINE 1 (BATONG LINE),XIDAN,LINE 14,DONGFENG BEIQIAO,LINE 1 (BATONG LINE),LINE 14,,,,,DAWANG LU,,,,,19,33,0,20,11,0,2280,2,1,4
59,bj,LINE 13,LONGZE,LINE 15,HOUSHAYU,LINE 13,LINE 15,,,,,WANGJINGXI,,,,,17,0,23,18,0,1,3578,2,3,3
60,bj,LINE 13,ZHICHUNLU,LINE 13,LONGZE,LINE 13,,,,,,,,,,,12,14,0,12,41,0,1620,1,1,6
61,bj,CHANGPING LINE,ZHUXINZHUANG,LINE 13,DAZHONGSI,CHANGPING LINE,LINE 13,,,,,QINGHE RAILWAY STATION,,,,,9,9,0,9,41,0,1920,3,3,7
62,bj,LINE 4,TAORANTING,LINE 1 (BATONG LINE),WUKESONG,LINE 4,LINE 1 (BATONG LINE),,,,,XIDAN,,,,,7,28,0,7,58,0,1800,2,1,5
63,bj,LINE 14,DONGFENG BEIQIAO,LINE 14,JIULONGSHAN,LINE 14,,,,,,,,,,,18,13,5,18,30,51,1066,1,3,6
64,bj,DAXING AIRPORT EXPRESS,DAXING AIRPORT,LINE 14,JINGTAI,DAXING AIRPORT EXPRESS,LINE 10,LINE 4,LINE 14,,,CAOQIAO,JIAOMEN WEST,BEIJING SOUTH RAILWAY STATION,,,22,18,6,23,12,15,3249,4,2,3
65,bj,LINE 14,JINGTAI,LINE 8,TIANQIAO,LINE 14,LINE 8,,,,,YONGDINGMENWAI,,,,,11,51,15,11,59,25,490,2,2,3
66,bj,LINE 5,TEMPLE OF HEAVEN EAST GATE,LINE 5,PUHUANGYU,LINE 5,,,,,,,,,,,17,22,5,17,28,43,398,1,1,3
67,bj,LINE 14,JINGTAI,LINE 1 (BATONG LINE),TIAN'ANMENDONG,LINE 14,LINE 8,LINE 1 (BATONG LINE),,,,YONGDINGMENWAI,WANGFUJING,,,,11,43,2,12,7,22,1460,3,3,3
68,bj,LINE 1 (BATONG LINE),WANGFUJING,LINE 4,XINGONG,LINE 1 (BATONG LINE),LINE 4,,,,,XIDAN,,,,,18,35,10,19,4,51,1781,2,2,3
69,bj,LINE 19,XINGONG,LINE 10,SUZHOU JIE,LINE 19,LINE 10,,,,,MUDANYUAN,,,,,11,5,30,11,48,21,2571,2,2,3
70,bj,LINE 10,SUZHOU JIE,LINE 4,BEIGONGMEN,LINE 10,LINE 4,,,,,HAIDIANHUANGZHUANG,,,,,13,45,22,14,6,41,1279,2,2,3
71,bj,LINE 4,BEIGONGMEN,LINE 6,NANLUOGU XIANG,LINE 4,LINE 6,,,,,PING'ANLI,,,,,17,22,31,18,16,44,3253,2,2,3
72,bj,LINE 6,NANLUOGU XIANG,LINE 4,XINGONG,LINE 6,LINE 4,,,,,PING'ANLI,,,,,21,30,32,22,4,25,2033,2,2,3
73,bj,LINE 19,XINGONG,LINE 8,HUOYING,LINE 19,LINE 10,LINE 8,,,,MUDANYUAN,BEITUCHENG,,,,10,42,56,11,36,42,3226,3,3,3
74,bj,LINE 19,JISHUITAN,LINE 19,XINGONG,LINE 19,,,,,,,,,,,18,42,6,19,5,2,1376,1,1,3
75,bj,LINE 4,XINGONG,LINE 4,BEIJING SOUTH RAILWAY STATION,LINE 4,,,,,,,,,,,8,26,57,8,42,13,916,1,1,3
76,bj,LINE 10,SONGJIAZHUANG,LINE 4,XINGONG,LINE 10,LINE 4,,,,,JIAOMEN WEST,,,,,11,57,41,12,19,29,1308,2,3,3
77,bj,LINE 4,XINGONG,LINE 1 (BATONG LINE),JIANGUOMEN,LINE 4,LINE 1 (BATONG LINE),,,,,XIDAN,,,,,14,50,55,16,24,2,5587,2,3,3
78,bj,LINE 2,BEIJING RAILWAY STATION,LINE 4,MAJIAPU,LINE 2,LINE 4,,,,,XUANWUMEN,,,,,12,15,37,12,46,59,1882,2,3,3
79,bj,LINE 4,MAJIAPU,LINE 2,CHONGWENMEN,LINE 4,LINE 2,,,,,XUANWUMEN,,,,,14,26,38,14,56,59,1821,2,3,3
80,bj,LINE 2,CHONGWENMEN,LINE 4,MAJIAPU,LINE 2,LINE 4,,,,,XUANWUMEN,,,,,20,43,28,21,11,5,1657,2,3,3
81,bj,LINE 4,MAJIAPU,LINE 5,DONGDAN,LINE 4,LINE 1 (BATONG LINE),,,,,XIDAN,,,,,12,41,53,13,42,40,3647,2,3,3
82,bj,LINE 1 (BATONG LINE),DONGDAN,LINE 1 (BATONG LINE),GUOMAO,LINE 1 (BATONG LINE),,,,,,,,,,,15,6,2,15,14,51,529,1,1,3
83,bj,LINE 1 (BATONG LINE),GUOMAO,LINE 1 (BATONG LINE),GUOYUAN,LINE 1 (BATONG LINE),,,,,,,,,,,16,5,48,16,39,43,2035,1,3,3
84,bj,LINE 1 (BATONG LINE),UNIVERSAL RESORT,LINE 1 (BATONG LINE),GUOYUAN,LINE 1 (BATONG LINE),,,,,,,,,,,19,29,52,19,47,22,1050,1,1,3
85,bj,LINE 1 (BATONG LINE),GUOYUAN,LINE 10,SONGJIAZHUANG,LINE 1 (BATONG LINE),LINE 10,,,,,GUOMAO,,,,,20,16,10,21,7,17,3067,2,3,3
86,bj,LINE 10,SONGJIAZHUANG,DAXING AIRPORT EXPRESS,DAXING AIRPORT,LINE 10,DAXING AIRPORT EXPRESS,,,,,CAOQIAO,,,,,6,13,59,6,59,54,2755,2,2,3
87,bj,LINE 7,BEIJING WEST RAILWAY STATION,LINE 5,TIANTONGYUAN NORTH,LINE 7,LINE 5,,,,,CIQIKOU,,,,,12,57,0,14,14,0,4620,2,1,6
88,bj,LINE 4,BEIJING SOUTH RAILWAY STATION,LINE 13,LONGZE,LINE 4,LINE 13,,,,,XIZHIMEN,,,,,17,43,0,18,46,0,3780,2,1,6
89,bj,LINE 7,BEIJING WEST RAILWAY STATION,LINE 5,TIANTONGYUAN NORTH,LINE 7,LINE 5,,,,,CIQIKOU,,,,,12,55,5,14,3,8,4083,2,2,6
90,bj,LINE 5,TIANTONGYUAN SOUTH,LINE 7,BEIJING WEST RAILWAY STATION,LINE 5,LINE 7,,,,,CIQIKOU,,,,,11,7,0,12,20,0,4380,2,2,6
91,bj,LINE 5,TIANTONGYUAN NORTH,LINE 1 (BATONG LINE),TIAN'ANMENXI,LINE 5,LINE 1 (BATONG LINE),,,,,DONGDAN,,,,,13,55,0,14,51,0,3360,2,3,6
92,bj,LINE 1 (BATONG LINE),TIAN'ANMENDONG,LINE 5,TIANTONGYUAN NORTH,LINE 1 (BATONG LINE),LINE 5,,,,,DONGDAN,,,,,16,17,0,17,12,0,3300,2,3,6
93,bj,CHANGPING LINE,ZHUXINZHUANG,LINE 13,DAZHONGSI,CHANGPING LINE,LINE 13,,,,,XI'ERQI,,,,,9,9,0,9,41,0,1920,2,3,7
94,bj,LINE 7,BEIJING WEST RAILWAY STATION,LINE 7,DAGUANYING,LINE 7,,,,,,,,,,,12,33,4,12,41,40,516,1,1,5
95,bj,LINE 7,DAGUANYING,LINE 7,BEIJING WEST RAILWAY STATION,LINE 7,,,,,,,,,,,10,47,1,10,54,57,476,1,1,5
96,bj,AIRPORT EXPRESS,SANYUANQIAO,AIRPORT EXPRESS,TERMINAL 2,AIRPORT EXPRESS,,,,,,,,,,,9,12,0,9,39,0,1620,1,3,5
97,bj,LINE 7,GUANGQUMENWAI,AIRPORT EXPRESS,SANYUANQIAO,LINE 7,LINE 10,,,,,SHUANGJING,,,,,8,47,0,9,11,0,1440,2,1,5
98,bj,LINE 8,NANLUOGU XIANG,LINE 7,GUANGQUMENWAI,LINE 8,LINE 7,,,,,ZHUSHIKOU,,,,,18,40,0,19,29,0,2940,2,1,5
99,bj,LINE 2,DONGZHIMEN,LINE 2,ANDINGMEN,LINE 2,,,,,,,,,,,20,49,0,20,59,0,600,1,1,5
100,bj,LINE 9,BEIJING WEST RAILWAY STATION,CHANGPING LINE,CHANGPING DONGGUAN,LINE 9,LINE 4,LINE 13,CHANGPING LINE,,,NATIONAL LIBRARY,XIZHIMEN,QINGHE RAILWAY STATION,,,14,55,0,16,35,0,6000,4,3,5
101,bj,CHANGPING LINE,SHAHE,LINE 13,WUDAOKOU,CHANGPING LINE,LINE 13,,,,,XI'ERQI,,,,,10,55,0,11,30,0,2100,2,1,2
102,bj,LINE 13,WUDAOKOU,CHANGPING LINE,SHAHE,LINE 13,CHANGPING LINE,,,,,QINGHE RAILWAY STATION,,,,,21,40,0,22,20,0,2400,2,1,2
103,bj,LINE 4,LINGJING HUTONG,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 4,,,,,,,,,,,14,33,0,15,2,0,1740,1,1,3
104,bj,AIRPORT EXPRESS,SANYUANQIAO,AIRPORT EXPRESS,TERMINAL 3,AIRPORT EXPRESS,,,,,,,,,,,10,3,0,10,26,0,1380,1,1,3
105,bj,LINE 9,BEIJING WEST RAILWAY STATION,LINE 4,YUANMINGYUAN PARK,LINE 9,LINE 4,,,,,NATIONAL LIBRARY,,,,,7,47,0,8,16,0,1740,2,1,3
106,bj,LINE 4,YUANMINGYUAN PARK,AIRPORT EXPRESS,SANYUANQIAO,LINE 4,LINE 10,,,,,HAIDIANHUANGZHUANG,,,,,9,26,0,10,2,0,2160,2,1,3
107,bj,CHANGPING LINE,SHAHE,LINE 7,JIULONGSHAN,CHANGPING LINE,LINE 8,LINE 7,,,,ZHUXINZHUANG,ZHUSHIKOU,,,,8,55,0,10,31,0,5760,3,2,2
108,bj,LINE 7,JIULONGSHAN,LINE 13,WUDAOKOU,LINE 7,LINE 10,LINE 13,,,,SHUANGJING,ZHICHUNLU,,,,11,49,0,12,51,0,3720,3,2,2
109,bj,LINE 10,CHANGCHUNQIAO,LINE 1 (BATONG LINE),BAJIAO YOULEYUAN,LINE 10,LINE 1 (BATONG LINE),,,,,GONGZHUFEN,,,,,15,35,48,16,6,32,1844,2,3,5
110,bj,LINE 6,JIN'ANQIAO,LINE 1 (BATONG LINE),TIAN'ANMENXI,LINE 6,LINE 2,LINE 1 (BATONG LINE),,,,CHEGONGZHUANG,FUXINGMEN,,,,12,20,11,13,12,41,3150,3,3,5
111,bj,LINE 6,JIN'ANQIAO,LINE 10,LIANGMAQIAO,LINE 6,LINE 10,,,,,HUJIALOU,,,,,10,22,3,11,19,22,3439,2,3,4
112,bj,LINE 6,JIN'ANQIAO,LINE 8,BEITUCHENG,LINE 6,LINE 8,,,,,NANLUOGU XIANG,,,,,12,46,56,13,59,28,4352,2,3,5
113,bj,LINE 10,ANZHENMEN,LINE 6,JIN'ANQIAO,LINE 10,LINE 6,,,,,CISHOUSI,,,,,17,10,15,18,9,49,3574,2,3,7
114,bj,LINE 6,JIN'ANQIAO,LINE 8,NATIONAL ART MUSEUM,LINE 6,LINE 8,,,,,NANLUOGU XIANG,,,,,9,44,43,10,30,29,2746,2,3,4
115,bj,LINE 14,DONGFENG BEIQIAO,LINE 14,JIULONGSHAN,LINE 14,-3,-3,,,,,,,,,17,55,30,18,16,1,1231,1,2,6
116,bj,LINE 14,DONGFENG BEIQIAO,LINE 14,JIULONGSHAN,LINE 14,-3,-3,,,,,,,,,17,22,17,17,42,24,1207,1,2,6
117,bj,LINE 14,DONGFENG BEIQIAO,LINE 7,SHUANGJING,LINE 14,LINE 7,,,,,JIULONGSHAN,,,,,17,25,30,17,51,13,1543,3,2,6
118,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 9,BEIJING WEST RAILWAY STATION,LINE 4,LINE 9,-3,,,,NATIONAL LIBRARY,,,,,9,13,5,10,3,6,3001,2,1,2
119,bj,LINE 11,SHOUGANG PARK,LINE 2,XIZHIMEN,LINE 11,LINE 6,LINE 2,,,,JIN'ANQIAO,CHEGONGZHUANG,,,,16,34,0,17,25,0,3060,3,3,4
120,bj,LINE 6,XIHUANGCUN,LINE 14,LAIGUANGYING,LINE 6,LINE 14,-3,,,,JINTAI LU,,,,,6,52,41,8,1,24,4123,2,3,3
121,bj,LINE 4,PEKING UNIVERSITY EAST GATE,LINE 10,CHANGCHUNQIAO,LINE 4,LINE 10,-3,,,,HAIDIANHUANGZHUANG,,,,,21,33,7,21,54,0,1253,2,3,2
